section,chno,title,group,logo,url
FM RADIO STREAMS,10921,CIMA 92.1,RADIO - FM,https://media.socastsrm.com/uploads/station/1787/site_header_logo-613163e75f2f0.png,https://localradio.streamb.live/SB00097
,10951,CKCB 95.1,RADIO - FM,https://thepeakfm.com/wp-content/uploads/sites/9/2018/03/cropped-thepeak_512x512.png?w=180,http://live.leanstream.co/CKCBFM-MP3
,10993,CJGB 99.3,RADIO - FM,https://media.socastsrm.com/uploads/station/2572/squareIcon.png,https://evanov.streamb.live/SB00234
,11049,CFDC 104.9,RADIO - FM,https://upload.wikimedia.org/wikipedia/en/c/cf/CFDC_Country105_logo.png,https://bayshore-ais.leanstream.co/CFDCFM
