section,chno,title,group,logo,url
FM RADIO STREAMS,10907,KWMU 90.7,RADIO - FM,https://www.stlpr.org/favicon.ico,https://kwmu.streamguys1.com/jazz-128
,10991,99.1 Joy FM,RADIO - FM,https://www.joyfmonline.org/wp-content/uploads/2023/05/DSC_6221-scaled-e1684246472378-2000x0-c-default.jpeg,https://gateway.cdnstream1.com/2808_96.aac
,11077,Z107.7 St. Louis,RADIO - FM,https://i.iheart.com/v3/re/new_assets/dfa2aabf-e02d-476c-a2dc-332f13504e64,http://stream.revma.ihrhls.com/zc1297/hls.m3u8
OTHER STREAMS,,70s 80s Hits,RADIO,https://cdn-web.tunein.com/assets/img/apple-touch-icon-180.png,https://azuracast.streams.gr/listen/oldieswebradio/hits70s80sradio.mp3?
,,Boost Radio,RADIO,https://myboostnation.com/favicon.ico,https://gateway.cdnstream1.com/boost-live
,,"WZKX - Kicker 108 Bay St. Louis, MS",RADIO,https://kicker108.com/favicon.ico,http://ice42.securenetsystems.net/WZKX
