section,chno,title,group,logo,url
FM RADIO STREAMS,10931,CHLW 93.1,RADIO - FM,https://www.thebear931.com/favicon.ico,https://barriere.streamb.live/SB00250
,10937,CKOU 93.7,RADIO - FM,https://media.socastsrm.com/uploads/station/2266/site_header_logo-5fa440d70f3fa.png,https://torres-media.streamb.live/SB00191
,10957,CFJB 95.7,RADIO - FM,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Rock_95_logo.svg/250px-Rock_95_logo.svg.png,https://cob-ais.leanstream.co/CFJBFM
,11003,CJLF 100.3,RADIO - FM,https://lifeonline.fm/wp-content/uploads/2019/01/cropped-life-circle-logo-4-192x192.png,https://netstream.lifeonline.fm/CJLF/ogg_high
,11011,CIQB 101.1,RADIO - FM,https://1011bigfm.com/wp-content/uploads/sites/16/2018/02/cropped-big1011-logo-512x512.png?w=180,http://live.leanstream.co/CIQBFM-MP3
,11075,CKMB 107.5,RADIO - FM,https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Kool_FM_logo.svg/250px-Kool_FM_logo.svg.png,https://cob-ais.leanstream.co/CKMBFM
OTHER STREAMS,,"CBC Radio One - Barrie, ON",RADIO,https://subscriptions.cbc.ca/newsletter_static/images/1581433263108-cbc-radio-one.png,https://29243.live.streamtheworld.com/CBCOFM_CBC_SC
